Y	tau	Z	SW	alpha
-780824.773282	-180879.866541	-2686.38765126	-786424.89895	-347.824757654
-785600.35167	-180879.866541	-2007.66803687	-26185.3227353	-347.824757654
-787327.460054	-180879.866541	-2052.34574272	-21624.749411	-347.824757654
-788350.58201	-180879.866541	-2149.06887985	-20263.9132795	-347.824757654
-789104.447217	-180879.866541	-2149.77543533	-19539.1932976	-347.824757654
-789844.274169	-180879.866541	-1967.1166825	-19062.479319	-347.824757654
-790595.465625	-180879.866541	-1691.19698592	-18778.4283323	-347.824757654
-791134.118439	-180879.866541	-1490.83140047	-18662.1496687	-347.824757654
-791345.916868	-180879.866541	-1434.48851196	-18617.8797469	-347.824757654
