Y	tau	Z	SW	alpha
-791865.825583	-180879.866541	-3594.28641146	-23295.9299744	-330.000766409
-791865.883728	-180879.866541	-3595.62137373	-23296.3609468	-330.000766409
-791866.1146	-180879.866541	-3596.96252647	-23296.2193269	-330.000766409
-791866.545238	-180879.866541	-3598.317676	-23295.535245	-330.000766409
-791867.109701	-180879.866541	-3599.68643101	-23294.7701845	-330.000766409
-791867.773776	-180879.866541	-3601.06743481	-23293.9324683	-330.000766409
-791868.413295	-180879.866541	-3602.45921442	-23293.0773999	-330.000766409
-791868.79106	-180879.866541	-3603.87284958	-23292.513417	-330.000766409
-791869.28257	-180879.866541	-3605.31994433	-23292.2184009	-330.000766409
-791869.981072	-180879.866541	-3606.79139598	-23291.8085335	-330.000766409
-791870.706931	-180879.866541	-3608.277138	-23291.3500011	-330.000766409
-791871.429139	-180879.866541	-3609.77246462	-23290.8994186	-330.000766409
-791872.144504	-180879.866541	-3611.27461276	-23290.4643019	-330.000766409
-791872.851716	-180879.866541	-3612.78168228	-23290.0439168	-330.000766409
-791873.549618	-180879.866541	-3614.29223239	-23289.6364867	-330.000766409
-791874.237293	-180879.866541	-3615.80510095	-23289.2401018	-330.000766409
-791874.914189	-180879.866541	-3617.31931359	-23288.8527259	-330.000766409
-791875.580216	-180879.866541	-3618.83403017	-23288.4720328	-330.000766409
-791876.235883	-180879.866541	-3620.34850683	-23288.095141	-330.000766409
-791876.882516	-180879.866541	-3621.86206257	-23287.718046	-330.000766409
-791877.522657	-180879.866541	-3623.37404187	-23287.3349815	-330.000766409
-791878.160779	-180879.866541	-3624.88376488	-23286.9371704	-330.000766409
-791878.804517	-180879.866541	-3626.39045465	-23286.5105934	-330.000766409
-791879.466472	-180879.866541	-3627.89313562	-23286.0328253	-330.000766409
-791880.163841	-180879.866541	-3629.39057983	-23285.4705345	-330.000766409
-791880.892414	-180879.866541	-3630.88202113	-23284.7964016	-330.000766409
-791881.494748	-180879.866541	-3632.37151805	-23284.1157788	-330.000766409
-791881.819789	-180879.866541	-3633.86764828	-23283.7434208	-330.000766409
-791882.2676	-180879.866541	-3635.36536864	-23283.452191	-330.000766409
-791882.819493	-180879.866541	-3636.85742455	-23283.0291653	-330.000766409
-791883.408286	-180879.866541	-3638.33925299	-23282.5055654	-330.000766409
-791884.034048	-180879.866541	-3639.80539777	-23281.8617385	-330.000766409
-791884.583846	-180879.866541	-3641.2512272	-23281.1436603	-330.000766409
-791884.746986	-180879.866541	-3642.69556235	-23280.7537352	-330.000766409
-791885.05503	-180879.866541	-3644.17160396	-23280.684392	-330.000766409
-791885.563513	-180879.866541	-3645.66574707	-23280.4772346	-330.000766409
-791886.055661	-180879.866541	-3647.16121496	-23280.2315752	-330.000766409
-791886.517046	-180879.866541	-3648.65337246	-23279.9931882	-330.000766409
-791886.953501	-180879.866541	-3650.14042094	-23279.7645111	-330.000766409
-791887.369333	-180879.866541	-3651.62161648	-23279.5435462	-330.000766409
-791887.767443	-180879.866541	-3653.09667913	-23279.3282945	-330.000766409
-791888.150041	-180879.866541	-3654.56552891	-23279.1169443	-330.000766409
-791888.519047	-180879.866541	-3656.02816868	-23278.9076615	-330.000766409
-791888.876323	-180879.866541	-3657.48462925	-23278.6983645	-330.000766409
-791889.223865	-180879.866541	-3658.93494025	-23278.4864648	-330.000766409
-791889.564035	-180879.866541	-3660.37911021	-23278.2685008	-330.000766409
-791889.899916	-180879.866541	-3661.81710637	-23278.0395432	-330.000766409
-791890.235969	-180879.866541	-3663.24882558	-23277.7921599	-330.000766409
-791890.579256	-180879.866541	-3664.67404366	-23277.5145352	-330.000766409
-791890.941671	-180879.866541	-3666.09232607	-23277.187088	-330.000766409
-791891.34203	-180879.866541	-3667.50292567	-23276.7778401	-330.000766409
